"Time","adservice-769c85bff-p5p4l","cartservice-57b6f4544-nndv9","checkoutservice-7744df487d-9p9wc","currencyservice-57c744564d-6dtkn","emailservice-58755f8b55-vqrwx","frontend-5bfd5c75f-4226p","loadgenerator-7b495c87ff-f59kx","loadgenerator-7b495c87ff-grsmn","paymentservice-747f5544b8-65w42","productcatalogservice-8ffc55d69-gg7lz","recommendationservice-756856df7b-6rzgz","redis-cart-69c467889f-5kh4g","shippingservice-8b5c9bb9b-4xhfd"
2024-05-29 09:51:04,2119,6487,6731,10532,768,172880,1842,12138,694,40045,5304,1737,2288
2024-05-29 09:51:06,2212,6487,7062,11029,768,172880,1813,12277,694,40045,5508,1737,2288
2024-05-29 09:51:08,2212,6487,7062,11029,768,172880,1783,12416,694,40045,5508,1737,2288
2024-05-29 09:51:10,2212,6487,7062,11029,768,172880,1754,11862,694,42664,5335,1818,2407
2024-05-29 09:51:12,2317,6706,7062,11029,760,184498,1725,11862,694,45405,5840,1818,2407
2024-05-29 09:51:14,2317,6730,7062,11029,755,184498,1696,13138,694,45405,5840,1818,2407
2024-05-29 09:51:16,2317,7317,7358,11029,816,184498,1667,13280,724,45405,6071,1818,2407
2024-05-29 09:51:18,2404,7317,7358,11372,816,184498,1615,13421,724,45405,6071,1818,2536
2024-05-29 09:51:20,2404,7317,7358,11872,816,191825,1586,13563,745,45405,6071,1890,2536
2024-05-29 09:51:22,2459,7317,7757,11872,818,197063,1558,13705,745,45405,6071,1890,2536
2024-05-29 09:51:24,2459,7317,7757,11872,845,197063,1529,13847,745,45405,6071,1969,2636
2024-05-29 09:51:26,2459,7317,7757,11872,845,197063,1500,13989,745,43971,6071,1969,2636
2024-05-29 09:51:28,2459,7317,8214,11872,845,197063,1471,14131,745,47625,6170,1969,2636
2024-05-29 09:51:30,2567,7584,8214,11872,821,197063,1517,13564,775,49937,6666,1969,2636
2024-05-29 09:51:32,2567,7923,8214,12338,815,204007,1487,14662,775,49937,6666,2026,2636
2024-05-29 09:51:34,2567,7923,8214,11917,866,211545,1457,14807,775,49937,6666,2026,2743
2024-05-29 09:51:36,2567,7923,8214,13029,866,211545,1427,14951,808,49937,6666,2099,2743
2024-05-29 09:51:38,2567,7923,7955,13029,866,220272,1397,15095,808,49937,6666,2099,2743
2024-05-29 09:51:40,2475,7923,8619,13029,895,220272,1366,15240,808,49937,6666,2099,2743
2024-05-29 09:51:42,2751,7923,8619,13029,895,220272,1417,15384,843,49937,6823,2099,2853
2024-05-29 09:51:44,2851,8397,8988,13695,905,220272,1385,15528,843,54854,7027,2099,2853
2024-05-29 09:51:46,2851,8665,8988,13695,905,220272,1353,15673,843,54854,7278,2216,2923
2024-05-29 09:51:48,2851,8665,8988,13695,905,220272,1321,15118,843,54854,7278,2150,2944
2024-05-29 09:51:50,2851,8665,8988,13695,905,220272,1289,16233,843,54854,7278,2300,3039
2024-05-29 09:51:52,2851,8665,8988,13695,929,236481,1257,16380,872,54854,7278,2300,3109
2024-05-29 09:51:54,2913,8665,9303,13221,929,236481,1289,16527,872,54854,7278,2300,3109
2024-05-29 09:51:56,2913,8665,9551,14228,951,236481,1256,16674,872,54854,7278,2300,3109
2024-05-29 09:51:58,2913,8665,9889,15047,951,236481,1223,16820,888,57828,7538,2300,3109
2024-05-29 09:52:00,2988,9304,9889,15047,951,236481,1189,16967,894,57828,7538,2300,3109
2024-05-29 09:52:02,3086,9304,9889,15047,951,248345,1156,17246,924,59624,7820,2453,3109
2024-05-29 09:52:04,3086,9304,9889,15047,972,253718,1153,17394,947,59624,7820,2453,3109
2024-05-29 09:52:06,3086,9304,10209,15047,984,253718,1119,17542,947,59624,7820,2453,3197
2024-05-29 09:52:08,3141,9304,10209,15336,984,253718,1084,17690,947,59624,7820,2453,3109
2024-05-29 09:52:10,3141,9304,10209,15336,984,253718,1050,17838,947,59624,7820,2453,3426
2024-05-29 09:52:12,3141,9304,10209,15336,984,253718,1015,17986,947,59624,8008,2453,3426
2024-05-29 09:52:14,3141,10135,10495,16131,1017,253718,981,18134,947,63549,8342,2520,3426
2024-05-29 09:52:16,3141,10135,10568,16131,1017,265585,947,18536,947,65159,8342,2596,3426
2024-05-29 09:52:18,3291,10135,10934,16381,1017,265585,912,18686,995,65159,8342,2665,3426
2024-05-29 09:52:20,3291,10135,10934,16381,1017,265585,933,18836,1014,65159,8342,2665,3426
2024-05-29 09:52:22,3359,10135,11216,16381,1035,273339,897,18986,1014,65159,8342,2665,3426
2024-05-29 09:52:24,3359,10135,11216,16381,1035,273339,860,19136,1014,65159,8342,2665,3426
2024-05-29 09:52:26,3359,10135,11216,16381,1035,273339,824,19286,1014,65159,8992,2665,3614
2024-05-29 09:52:28,3359,10135,11216,17021,1076,273339,787,19597,1014,65159,8992,2665,3738
2024-05-29 09:52:30,3359,10094,11216,17021,1076,285645,751,19748,1014,65159,8992,2802,3738
2024-05-29 09:52:32,3466,10748,11216,17021,1076,285645,715,19899,1014,70765,8992,2802,3738
2024-05-29 09:52:34,3581,11102,11752,17348,1076,285645,473,20051,1008,70765,8992,2802,3738
2024-05-29 09:52:36,3625,11102,11752,17348,1076,291000,614,20202,1095,70765,8992,2802,3738
2024-05-29 09:52:38,3625,11102,12047,17348,1040,291000,578,20353,1095,70765,8992,2802,3738
2024-05-29 09:52:40,3625,11102,12047,18328,1091,291000,542,20504,1095,70765,8992,2802,3738
2024-05-29 09:52:42,3625,11246,12047,18328,1091,300099,506,20656,1095,70765,9154,2924,3738
2024-05-29 09:52:44,3625,11246,12047,18328,1140,311446,470,21032,1095,70765,9091,2924,3706
2024-05-29 09:52:46,3660,11246,12047,18328,1140,311446,434,21185,1095,70765,9651,2986,4020
2024-05-29 09:52:48,3660,11246,12489,18328,1140,311446,398,21337,1095,68535,9651,2986,4020
2024-05-29 09:52:50,3831,11699,12489,17741,1137,311446,363,21490,1095,76917,9651,2986,4020
2024-05-29 09:52:52,3831,11699,12489,18711,1137,301724,,21643,1125,76917,9651,2986,4020
2024-05-29 09:52:54,3831,11699,12103,18711,1137,315427,,21796,1125,76917,9651,3158,4020
2024-05-29 09:52:56,3831,11699,12511,19667,1137,315427,,21949,1125,76917,9651,3158,4020
2024-05-29 09:52:58,3831,11345,13095,19667,1137,315427,,22102,1125,76917,9958,3158,4029
2024-05-29 09:53:00,3871,11834,13095,19667,1137,315427,,22255,1125,76917,10280,3172,4029
2024-05-29 09:53:02,3871,12374,13095,19667,1153,331536,,22625,1178,76917,10345,3172,4146
2024-05-29 09:53:04,4029,12374,13095,19667,1195,331536,,22780,1178,76917,10345,3172,4277
2024-05-29 09:53:06,4029,12374,13095,19793,1194,331536,,22934,1178,77620,10345,3172,4277
2024-05-29 09:53:08,4029,12374,13122,19793,1194,333737,,23089,1183,81911,10345,3172,4277
2024-05-29 09:53:10,4029,12374,13122,20399,1194,333737,,23285,1183,81911,10345,3291,4277
2024-05-29 09:53:12,4029,12374,13706,21177,1194,333737,,23449,1183,81911,10416,3291,4284
2024-05-29 09:53:14,4029,12749,13706,21177,1194,333737,,23613,1183,81911,10416,3291,4284
2024-05-29 09:53:16,4268,12430,13706,21177,1194,351864,,23820,1183,81911,11003,3184,4284
2024-05-29 09:53:18,4268,13278,13706,21177,1194,351864,,23984,1221,82108,11003,3303,4284
2024-05-29 09:53:20,4268,13278,13706,21228,1238,353516,,24148,1221,82108,11003,3303,4448
2024-05-29 09:53:22,4268,13278,13706,21228,1200,353516,,24312,1221,82108,11003,3479,4448
2024-05-29 09:53:24,4268,13278,13796,21228,1228,353516,,24476,1183,85927,11003,3479,4448
2024-05-29 09:53:26,4286,13278,13702,21228,1228,353516,,24616,1175,85927,11003,3479,4448
2024-05-29 09:53:28,4286,13278,14265,21228,1228,353516,,24853,1273,85927,11003,3479,4456
2024-05-29 09:53:30,4286,13296,14265,22168,1228,366930,,25023,1273,85927,10999,3479,4601
2024-05-29 09:53:32,4464,13296,14265,22168,1228,366930,,25194,1273,85927,11274,3486,4601
