"Time","adservice-6fd97c5f66-85vlz","adservice-84674696bd-dwm2q","cartservice-56464cbd57-mmb44","cartservice-d6c6b89c5-thm6z","checkoutservice-547698945f-kkq85","checkoutservice-57ff9b6f6f-chntd","currencyservice-6c79f6489c-xgcnj","currencyservice-758cffcb79-mmx4m","emailservice-6b8c7568f6-sq8lf","emailservice-7db8d45dbb-vjsbv","frontend-5b7bdb5976-5rlqp","frontend-7b6c847994-j72tz","loadgenerator-56c4cd7887-n5x68","loadgenerator-56c4cd7887-r425m","loadgenerator-675b588654-rrgkb","paymentservice-5c459c6b77-stvrx","paymentservice-fdb87db6c-n75xr","productcatalogservice-579f77468b-lf649","productcatalogservice-58f898d544-ppwqq","recommendationservice-75cdbfb85f-tbx68","recommendationservice-b44f7c66f-bhqth","redis-cart-5bbccd47f-kr6wf","redis-cart-689d957757-xs562","shippingservice-6d78c69fb9-wrrsf","shippingservice-8f959b975-tfj6s"
2024-05-29 14:02:22,153,35.9,154,31.8,8.99,170,36.1,197,261,63.5,24.4,4022,489,213,8.54,23.9,128,859,16.4,339,71.0,13.0,92.2,36.2,199
2024-05-29 14:02:24,154,29.6,156,30.7,8.46,172,34.9,199,263,61.5,23.6,4053,489,213,9.68,23.0,129,866,15.6,342,68.9,12.5,92.9,26.6,201
2024-05-29 14:02:26,155,28.9,376,29.5,7.94,173,33.8,456,265,59.4,22.7,4084,489,753,9.47,22.1,130,873,7.07,486,66.7,12.0,93.6,31.4,203
2024-05-29 14:02:28,157,28.1,379,32.4,7.42,174,32.6,459,267,57.3,21.9,4115,489,783,9.27,21.2,132,879,7.07,489,64.6,6.80,160,30.0,204
2024-05-29 14:02:30,158,27.3,382,31.1,6.90,175,31.4,463,269,49.8,21.1,4146,489,813,9.06,20.4,133,886,8.99,493,62.4,6.51,161,28.7,206
2024-05-29 14:02:32,159,26.6,384,29.8,6.37,177,29.4,466,261,57.5,20.2,4176,489,843,8.86,27.5,134,893,8.47,497,63.2,6.21,162,27.3,207
2024-05-29 14:02:34,206,25.8,387,28.5,,178,28.3,470,282,55.3,19.4,4207,489,873,8.65,26.3,135,899,7.95,500,60.9,5.91,164,25.9,209
2024-05-29 14:02:36,207,26.6,390,27.2,,179,27.2,473,284,53.0,19.9,11358,489,903,9.82,25.0,136,871,7.43,504,58.7,5.62,165,24.5,279
2024-05-29 14:02:38,209,25.8,393,25.9,,262,26.0,477,286,50.8,19.0,11441,489,933,9.82,23.8,137,3192,6.91,708,56.4,5.32,166,23.2,281
2024-05-29 14:02:40,210,25.0,396,34.7,,263,24.9,480,288,48.5,18.0,11523,489,963,10.8,22.6,138,3215,6.39,713,54.2,5.02,167,18.6,283
2024-05-29 14:02:42,212,24.2,385,32.9,,265,23.7,468,291,46.3,17.1,11606,489,1441,10.5,21.4,144,3238,5.87,718,51.9,4.73,168,18.6,285
2024-05-29 14:02:44,213,23.4,798,31.1,,267,22.6,468,293,44.0,16.2,11688,489,1485,10.3,20.1,145,3261,5.35,723,49.6,4.43,164,18.6,287
2024-05-29 14:02:46,215,22.6,803,29.3,,269,21.4,1030,295,41.7,15.3,11771,489,1529,9.99,18.9,146,3285,,728,47.4,,164,22.4,289
2024-05-29 14:02:48,216,21.8,809,27.5,,271,9.68,1037,297,43.5,14.4,11854,489,1572,9.71,17.7,147,3308,,734,46.0,,289,20.6,291
2024-05-29 14:02:50,295,21.0,815,25.7,,273,9.68,1044,289,41.0,13.5,11936,489,1616,9.43,,148,4977,,739,43.8,,291,18.7,293
2024-05-29 14:02:52,297,15.1,820,23.9,,275,12.5,1051,311,38.4,12.5,12019,489,1660,9.16,,149,5011,,744,41.5,,293,16.9,286
2024-05-29 14:02:54,299,18.0,826,,,268,11.6,1058,313,35.9,11.6,11669,489,1703,8.88,,150,5046,,1002,39.2,,295,15.0,286
2024-05-29 14:02:56,301,17.2,831,,,268,10.8,1066,315,33.4,,23583,489,1747,5.35,,151,5081,,1009,37.0,,297,,399
2024-05-29 14:02:58,303,16.4,837,,,394,9.97,1073,317,30.9,,23743,489,1791,6.10,,147,5115,,1016,34.7,,299,,402
2024-05-29 14:03:00,298,15.7,845,,,385,9.13,1512,320,28.4,,23903,489,2352,5.89,,163,5150,,1023,32.4,,301,,405
2024-05-29 14:03:02,298,14.9,1306,,,399,8.30,1523,322,,,24099,489,2408,5.68,,164,5185,,1030,30.2,,303,,407
2024-05-29 14:03:04,298,14.2,1315,,,399,7.47,1534,324,,,24270,489,2464,5.48,,165,5237,,1303,,,295,,410
2024-05-29 14:03:06,394,13.4,1324,,,399,,1545,333,,,24441,489,2520,5.27,,166,5274,,1312,,,480,,413
2024-05-29 14:03:08,394,12.6,1333,,,399,,1555,335,,,24612,489,2576,5.07,,167,8598,,1321,,,483,,416
2024-05-29 14:03:10,394,10.1,1342,,,399,,1566,338,,,24782,489,2632,4.86,,167,8658,,1330,,,487,,419
2024-05-29 14:03:12,414,9.45,1351,,,424,,1577,340,,,24953,489,2688,6.27,,167,8718,,1339,,,490,,407
2024-05-29 14:03:14,417,8.82,1363,,,424,,2074,340,,,41326,489,2744,6.00,,167,8778,,1348,,,490,,552
2024-05-29 14:03:16,504,8.19,1372,,,424,,2088,340,,,41607,489,2800,5.72,,162,8838,,1357,,,490,,552
2024-05-29 14:03:18,505,7.57,1382,,,434,,2102,340,,,41888,489,3617,5.44,,170,8898,,1369,,,490,,552
2024-05-29 14:03:20,505,,1339,,,434,,2117,339,,,42156,489,3688,5.17,,170,8958,,1332,,,504,,564
2024-05-29 14:03:22,505,,2161,,,434,,2134,339,,,42531,489,3759,4.89,,170,12312,,1901,,,491,,568
2024-05-29 14:03:24,505,,2175,,,434,,2606,339,,,42831,489,3829,4.61,,170,12398,,1914,,,491,,571
2024-05-29 14:03:26,505,,2191,,,434,,2624,339,,,43131,489,3900,0.440,,170,12484,,1927,,,774,,672
2024-05-29 14:03:28,500,,2206,,,584,,2642,340,,,43430,489,3971,0.440,,170,12570,,1940,,,779,,672
2024-05-29 14:03:30,504,,2221,,,604,,2659,340,,,60932,489,4042,0.559,,178,12656,,1952,,,781,,672
2024-05-29 14:03:32,649,,2236,,,604,,2677,340,,,61350,489,4113,0.516,,178,12742,,1952,,,781,,672
2024-05-29 14:03:34,654,,2776,,,604,,2700,350,,,61768,489,4184,0.473,,178,12828,,2293,,,781,,672
2024-05-29 14:03:36,658,,2794,,,604,,2719,350,,,62186,489,3886,0.430,,179,12956,,2309,,,801,,696
2024-05-29 14:03:38,683,,2815,,,647,,2738,350,,,62604,489,5087,0.387,,179,12612,,2324,,,807,,696
2024-05-29 14:03:40,683,,2835,,,647,,3526,349,,,63113,489,5170,0.344,,179,17674,,2340,,,812,,820
2024-05-29 14:03:42,683,,2855,,,647,,3550,349,,,63548,489,5254,,,183,17797,,2346,,,1050,,820
2024-05-29 14:03:44,683,,2874,,,658,,3574,349,,,63983,489,5337,,,183,17920,,2664,,,1057,,820
2024-05-29 14:03:46,813,,3366,,,663,,3598,349,,,64417,489,5421,,,183,18043,,2708,,,1057,,820
2024-05-29 14:03:48,813,,3389,,,684,,3626,359,,,62456,489,5504,,,185,18166,,2726,,,1057,,849
2024-05-29 14:03:50,813,,3412,,,684,,3651,359,,,88383,492,6237,,,185,18289,,2744,,,1057,,849
2024-05-29 14:03:52,813,,3435,,,684,,3675,366,,,89005,492,6330,,,185,18412,,2749,,,1087,,849
2024-05-29 14:03:54,845,,3437,,,858,,3700,366,,,89627,492,6423,,,185,22918,,2749,,,1094,,849
2024-05-29 14:03:56,845,,3487,,,858,,3606,366,,,90248,492,6516,,,185,23078,,3256,,,1101,,821
2024-05-29 14:03:58,968,,4181,,,858,,4632,366,,,90870,492,6609,,,179,23239,,3279,,,1102,,1032
2024-05-29 14:04:00,968,,4210,,,858,,4679,368,,,91492,492,6702,,,189,23399,,3301,,,1061,,1032
2024-05-29 14:04:02,968,,4239,,,858,,4712,368,,,92113,492,6795,,,196,23560,,3323,,,1446,,1069
2024-05-29 14:04:04,968,,4267,,,904,,4744,368,,,92735,495,6888,,,196,23720,,3323,,,1446,,1069
2024-05-29 14:04:06,968,,4296,,,998,,4777,368,,,90429,495,7641,,,196,27406,,3323,,,1485,,1069
2024-05-29 14:04:08,968,,4310,,,998,,4809,368,,,118274,495,7743,,,196,27590,,3399,,,1495,,1069
2024-05-29 14:04:10,1023,,4362,,,998,,4842,368,,,119091,495,7845,,,196,27799,,3908,,,1505,,1069
2024-05-29 14:04:12,1024,,4392,,,998,,4873,368,,,119908,495,7947,,,196,27995,,3935,,,1516,,1069
2024-05-29 14:04:14,989,,4422,,,998,,4717,374,,,120725,495,8049,,,203,28190,,3962,,,1526,,1263
2024-05-29 14:04:16,1229,,4300,,,998,,5756,374,,,121543,495,8151,,,203,28386,,3989,,,1536,,1263
2024-05-29 14:04:18,1229,,5351,,,998,,5795,374,,,122360,494,8252,,,203,28582,,4016,,,1495,,1263
2024-05-29 14:04:20,1229,,5387,,,998,,5835,374,,,123444,499,9046,,,205,28777,,4043,,,1836,,1263
2024-05-29 14:04:22,1229,,5388,,,1102,,5874,379,,,124304,499,9156,,,205,33904,,4054,,,1836,,1263
2024-05-29 14:04:24,1229,,5468,,,1140,,5899,379,,,125164,499,9266,,,205,34133,,4054,,,1836,,1318
2024-05-29 14:04:26,1255,,5506,,,1140,,5965,379,,,151191,499,9377,,,205,34338,,4646,,,1885,,1429
2024-05-29 14:04:28,1263,,5544,,,1140,,6565,388,,,152223,499,9487,,,205,34641,,4748,,,1898,,1436
2024-05-29 14:04:30,1302,,5583,,,1140,,6610,388,,,153254,499,9597,,,199,34886,,4780,,,1911,,1436
2024-05-29 14:04:32,1466,,6334,,,1140,,6655,388,,,154286,499,10342,,,198,35131,,4808,,,2178,,1436
2024-05-29 14:04:34,1466,,6377,,,1140,,6701,388,,,155545,499,10459,,,214,38909,,4808,,,2193,,1436
2024-05-29 14:04:36,1466,,6420,,,1140,,6746,390,,,156626,499,10577,,,218,39179,,4808,,,2204,,1436
2024-05-29 14:04:38,1466,,6463,,,1106,,6791,390,,,157707,499,10694,,,218,39448,,4919,,,2204,,1436
2024-05-29 14:04:40,1466,,6470,,,1127,,6847,390,,,182422,499,10812,,,218,39718,,4807,,,2204,,1436
2024-05-29 14:04:42,1598,,6562,,,1406,,6894,390,,,183665,499,10929,,,218,39987,,4807,,,2256,,1691
2024-05-29 14:04:44,1633,,6607,,,1409,,7720,395,,,184907,499,11832,,,218,40257,,5797,,,2272,,1698
2024-05-29 14:04:46,1644,,7502,,,1409,,7773,395,,,186149,499,11958,,,218,40638,,5829,,,2287,,1698
2024-05-29 14:04:48,1683,,7553,,,1409,,7825,395,,,187598,505,12084,,,218,40924,,5829,,,2638,,1698
2024-05-29 14:04:50,1694,,7605,,,1409,,7830,395,,,188887,505,12210,,,215,47039,,5829,,,2656,,1698
2024-05-29 14:04:52,1699,,7656,,,1409,,7939,401,,,190176,505,12335,,,228,47366,,5961,,,2665,,1698
2024-05-29 14:04:54,1699,,7684,,,1409,,7993,407,,,211641,505,12461,,,228,47693,,6002,,,2665,,1698
2024-05-29 14:04:56,1699,,7777,,,1409,,8047,407,,,213066,505,12587,,,228,48020,,6042,,,2714,,1946
2024-05-29 14:04:58,1644,,7832,,,1688,,8101,407,,,214776,505,12713,,,228,48347,,6083,,,2732,,1959
2024-05-29 14:05:00,1632,,7887,,,1688,,8840,407,,,216302,505,12839,,,228,48674,,6809,,,3004,,1969
2024-05-29 14:05:02,1921,,8833,,,1688,,8918,407,,,217828,505,12289,,,231,52530,,6809,,,3025,,1969
2024-05-29 14:05:04,1995,,8894,,,1688,,8979,407,,,219353,505,14450,,,231,52922,,6809,,,3045,,1969
2024-05-29 14:05:06,1995,,8955,,,1688,,9041,411,,,220879,451,14589,,,243,53297,,6959,,,3066,,1969
2024-05-29 14:05:08,1995,,9017,,,1688,,9103,419,,,246809,442,14728,,,243,53672,,7008,,,3073,,1969
2024-05-29 14:05:10,1995,,9078,,,1688,,9691,419,,,248502,433,14867,,,243,54047,,7056,,,3073,,1969
2024-05-29 14:05:12,1995,,9139,,,1762,,9756,419,,,250196,423,15006,,,243,54421,,7104,,,3132,,2217
2024-05-29 14:05:14,1995,,9164,,,1762,,9774,419,,,251889,414,15145,,,243,54796,,7738,,,3458,,2217
2024-05-29 14:05:16,2234,,9286,,,1698,,9898,419,,,253582,404,15284,,,250,55171,,7791,,,3482,,2217
2024-05-29 14:05:18,2234,,10162,,,2005,,9967,419,,,255812,395,16202,,,255,60797,,7843,,,3498,,2217
2024-05-29 14:05:20,2234,,10232,,,2005,,10036,419,,,257610,386,16348,,,255,61207,,7862,,,3498,,2217
2024-05-29 14:05:22,2234,,10303,,,2005,,10104,405,,,280596,369,16494,,,255,61667,,7862,,,3558,,2217
2024-05-29 14:05:24,2234,,10373,,,2086,,10173,432,,,282541,360,16640,,,255,62096,,8282,,,3582,,2317
2024-05-29 14:05:26,2293,,10443,,,2100,,10242,432,,,284486,351,16786,,,255,62524,,8479,,,3607,,2321
2024-05-29 14:05:28,2486,,10513,,,2108,,11066,432,,,286431,342,16932,,,255,62953,,8537,,,3631,,2496
2024-05-29 14:05:30,2503,,10537,,,2108,,11149,432,,,288376,333,17078,,,253,63381,,8595,,,3537,,2496
2024-05-29 14:05:32,2520,,11484,,,2108,,11228,432,,,290322,323,18076,,,262,68545,,8654,,,4087,,2496
2024-05-29 14:05:34,2524,,11564,,,2038,,11307,432,,,312643,290,18229,,,252,69006,,8712,,,4097,,2496
2024-05-29 14:05:36,2524,,11644,,,2284,,11386,443,,,314836,281,18382,,,270,69536,,8760,,,4097,,2496
2024-05-29 14:05:38,2524,,11725,,,2284,,11938,443,,,317030,273,18535,,,270,70026,,8760,,,4173,,2605
2024-05-29 14:05:40,2524,,11805,,,2362,,12020,443,,,319223,264,18688,,,270,70517,,8495,,,4202,,2623
2024-05-29 14:05:42,2684,,11885,,,2362,,12102,443,,,321416,256,18842,,,270,71007,,9641,,,4231,,2628
2024-05-29 14:05:44,2783,,12571,,,2362,,12185,443,,,323609,247,18995,,,270,71497,,9707,,,4259,,2628
2024-05-29 14:05:46,2802,,12655,,,2362,,12267,443,,,325803,239,19148,,,270,71988,,9772,,,4288,,2806
2024-05-29 14:05:48,2817,,12757,,,2552,,12349,443,,,327996,187,19301,,,276,70192,,9838,,,4301,,2806
2024-05-29 14:05:50,2817,,12847,,,2646,,12906,459,,,331004,180,18621,,,286,78479,,9864,,,4152,,2806
2024-05-29 14:05:52,2817,,12937,,,2659,,12995,459,,,360752,174,20834,,,286,79006,,9864,,,4803,,2806
2024-05-29 14:05:54,2817,,13027,,,2659,,13084,459,,,363229,167,20996,,,286,79621,,9864,,,4835,,2930
2024-05-29 14:05:56,2817,,13117,,,2659,,13174,459,,,365706,160,21159,,,286,80181,,10694,,,4868,,2950
2024-05-29 14:05:58,3098,,13208,,,2659,,13263,459,,,368184,153,21322,,,286,80742,,10768,,,4901,,2970
2024-05-29 14:06:00,3107,,12832,,,2659,,13353,464,,,370661,146,21485,,,290,81303,,10842,,,4905,,3102
2024-05-29 14:06:02,3107,,14413,,,2659,,13946,464,,,373831,140,21647,,,290,81863,,10916,,,4975,,3102
2024-05-29 14:06:04,3107,,14510,,,2779,,14070,464,,,376428,74.7,21810,,,290,82424,,10990,,,5010,,3102
2024-05-29 14:06:06,3107,,14570,,,3059,,14169,464,,,400688,71.0,21973,,,281,80204,,11064,,,5044,,3102
2024-05-29 14:06:08,3208,,14717,,,3080,,14267,457,,,403434,67.2,22136,,,279,88601,,11500,,,5400,,3102
2024-05-29 14:06:10,3343,,14818,,,3100,,14365,460,,,406179,63.4,23535,,,303,89195,,11500,,,5437,,3102
2024-05-29 14:06:12,3365,,14919,,,3110,,14464,474,,,408925,59.7,23707,,,303,89859,,11701,,,5473,,3199
2024-05-29 14:06:14,3382,,15020,,,3110,,15035,474,,,411671,55.9,23878,,,302,90477,,11780,,,5488,,3270
2024-05-29 14:06:16,3382,,15121,,,3110,,15137,459,,,415371,52.2,24050,,,312,91095,,11860,,,5488,,3430
2024-05-29 14:06:18,3382,,15147,,,3110,,15238,487,,,418278,,24222,,,312,94735,,11915,,,5592,,3453
2024-05-29 14:06:20,3382,,16225,,,3110,,15251,487,,,442104,,24394,,,312,95373,,11915,,,5631,,3455
2024-05-29 14:06:22,3382,,16339,,,3236,,15473,487,,,445156,,25241,,,312,96082,,11915,,,5669,,3455
2024-05-29 14:06:24,3494,,16453,,,3578,,15581,487,,,448207,,25418,,,326,96747,,11779,,,6006,,3455
2024-05-29 14:06:26,3425,,16567,,,3603,,16107,483,,,451259,,25594,,,326,97413,,12903,,,6047,,3455
2024-05-29 14:06:28,3700,,16681,,,3627,,16219,500,,,454310,,25771,,,326,98078,,12991,,,6059,,3455
2024-05-29 14:06:30,3725,,16794,,,3646,,16330,500,,,457362,,25947,,,326,98744,,13080,,,6134,,3586
2024-05-29 14:06:32,3750,,16908,,,3646,,16442,500,,,476198,,26124,,,335,103032,,13168,,,6176,,3468
2024-05-29 14:06:34,3763,,17022,,,3646,,16553,482,,,479523,,26300,,,335,103749,,13257,,,6218,,3713
2024-05-29 14:06:36,3763,,17720,,,3646,,16665,500,,,482849,,26528,,,335,104466,,13265,,,6260,,3713
2024-05-29 14:06:38,3763,,17916,,,3741,,16730,500,,,486174,,26711,,,335,105182,,13265,,,6501,,3713
2024-05-29 14:06:40,3763,,18043,,,3870,,16940,500,,,489499,,25922,,,336,105899,,13565,,,6544,,3713
2024-05-29 14:06:42,3968,,18169,,,3891,,16516,500,,,492825,,28170,,,336,106616,,13199,,,6545,,3849
2024-05-29 14:06:44,3995,,18295,,,3891,,16516,505,,,496150,,28361,,,346,107332,,14203,,,6641,,3849
2024-05-29 14:06:46,4022,,18422,,,3891,,17796,505,,,501191,,28552,,,346,110453,,14300,,,6687,,3849
2024-05-29 14:06:48,4030,,18548,,,3891,,17918,505,,,486933,,28781,,,346,111218,,14398,,,6875,,3849
2024-05-29 14:06:50,4030,,19153,,,4063,,18040,509,,,526967,,28984,,,346,111983,,14495,,,6922,,3849
2024-05-29 14:06:52,4030,,19283,,,4201,,18162,509,,,530638,,29186,,,346,112749,,14592,,,6969,,4086
