"Time","adservice-6b4979fd86-tnxvz","adservice-6fd97c5f66-85vlz","cartservice-56464cbd57-mmb44","cartservice-88fdf8db5-2wr56","checkoutservice-57ff9b6f6f-chntd","checkoutservice-77bcb7ccc7-f46zn","currencyservice-758cffcb79-mmx4m","currencyservice-84f9ccd67-rjh2b","emailservice-6b8c7568f6-sq8lf","emailservice-f56d9cccb-zbwv5","frontend-544d59f594-bp5hp","frontend-7b6c847994-j72tz","loadgenerator-56c4cd7887-r425m","loadgenerator-64d987f766-wkpjd","paymentservice-584488cb95-kxs6t","paymentservice-fdb87db6c-n75xr","productcatalogservice-579f77468b-lf649","productcatalogservice-68f4dbd84b-6jhgk","recommendationservice-564896d75f-4djl7","recommendationservice-75cdbfb85f-tbx68","redis-cart-689d957757-xs562","redis-cart-7fc544db85-mk6rh","shippingservice-79d4cfc86c-8h4z5","shippingservice-8f959b975-tfj6s"
2024-05-29 14:37:22,400,55.6,43.4,3750,28.5,10325,40.1,4187,103,1090,55283,278,2320,6530,1031,52.4,38.0,21048,3203,85.5,17.9,850,2391,61.6
2024-05-29 14:37:24,404,54.0,43.4,4345,31.9,10418,39.2,4225,101,1100,55779,272,2484,6604,1040,51.4,37.1,21237,3232,83.2,17.5,858,2413,60.2
2024-05-29 14:37:26,408,58.5,47.0,4384,31.0,10510,38.2,4262,99.0,1110,56275,271,2445,6679,1050,45.5,30.7,21427,3261,80.9,17.0,865,2434,58.8
2024-05-29 14:37:28,411,57.5,45.9,4422,30.2,10602,37.2,4300,96.8,1119,67004,265,2405,6753,1059,50.0,34.7,21616,3290,78.6,16.5,994,2354,54.9
2024-05-29 14:37:30,415,56.5,44.8,4460,29.3,10225,36.3,4337,96.8,1217,67589,258,2365,6827,1068,48.9,33.8,21806,3318,76.3,16.1,1003,2354,53.5
2024-05-29 14:37:32,418,55.5,43.8,4499,28.4,12850,35.3,4862,94.5,1228,68174,251,2326,7614,1230,47.9,32.9,21995,3747,73.0,16.1,1012,3000,52.1
2024-05-29 14:37:34,460,54.5,42.7,4537,27.5,12960,34.4,4904,92.3,1238,68760,245,2286,7696,1240,46.8,32.0,24502,3779,70.8,15.7,1021,3026,50.7
2024-05-29 14:37:36,464,53.5,41.6,4575,26.6,13069,33.4,4946,90.1,1249,69345,196,2246,7778,1251,45.7,31.1,24711,3812,68.5,15.2,1029,3052,49.3
2024-05-29 14:37:38,467,52.4,40.6,4614,25.7,13179,33.9,4987,87.8,1259,69930,220,2207,7860,1262,44.6,30.2,24921,3844,66.2,14.7,1038,3078,48.0
2024-05-29 14:37:40,471,51.4,42.5,5209,22.5,13289,32.9,5029,85.6,1270,70515,213,2167,7942,1272,43.6,29.3,25130,3876,64.0,14.2,1149,3104,46.6
2024-05-29 14:37:42,475,50.4,41.4,5252,26.4,13399,31.9,5071,83.4,1280,71100,207,2170,8557,1283,42.5,28.4,25339,3909,61.7,13.7,1158,3130,45.2
2024-05-29 14:37:44,509,52.8,40.2,5295,25.5,13508,31.0,5112,81.1,1291,82623,201,2130,8644,1380,41.4,27.5,25549,3941,59.4,13.2,1168,3156,39.3
2024-05-29 14:37:46,513,51.7,39.1,5338,24.5,13618,30.0,5154,66.1,1436,83297,195,2089,8731,1391,35.6,31.4,25758,3973,57.2,12.7,1177,3182,39.3
2024-05-29 14:37:48,517,50.6,37.9,5381,23.5,15389,29.0,5788,74.2,1448,83972,188,2049,8819,1402,40.1,30.3,25967,3848,55.0,9.27,1187,3568,43.8
2024-05-29 14:37:50,521,49.5,36.8,5424,22.5,15512,26.8,5835,72.0,1460,84646,182,2009,8906,1414,39.0,29.3,29929,3848,52.7,8.90,1197,3597,42.4
2024-05-29 14:37:52,525,48.5,37.7,5466,21.5,15636,25.9,5881,69.8,1471,85321,176,1968,8994,1425,37.9,28.2,30168,4707,50.4,8.53,1206,3626,40.9
2024-05-29 14:37:54,529,47.4,36.5,6261,20.5,15759,25.0,5927,67.7,1483,85995,144,1928,9081,1546,36.8,27.2,30407,4744,48.1,8.16,1216,3655,39.4
2024-05-29 14:37:56,533,46.3,35.3,6310,19.5,15882,24.0,5974,65.5,1603,86670,170,1984,9169,1558,35.8,26.1,30647,4781,45.9,7.79,1385,3684,37.9
2024-05-29 14:37:58,537,35.6,34.1,6359,18.8,16005,23.1,6020,63.3,1616,87344,164,1941,8807,1571,34.7,25.1,30886,4819,43.6,7.42,1395,3713,36.4
2024-05-29 14:38:00,607,34.7,32.9,6407,17.8,16128,22.1,6066,61.1,1628,99513,157,1899,10168,1583,33.6,24.0,33682,4856,45.0,7.06,1406,3742,34.9
2024-05-29 14:38:02,611,33.9,31.7,6456,16.9,16251,21.2,6113,59.0,1641,100276,150,1856,10263,1595,32.5,23.0,33941,4893,42.6,6.69,1417,3771,36.6
2024-05-29 14:38:04,616,33.0,35.3,6505,15.9,18329,20.2,5940,56.1,1653,101039,144,1813,10358,1607,31.4,20.9,34200,5368,40.3,3.73,1428,3799,34.9
2024-05-29 14:38:06,621,32.2,33.9,6554,15.0,18466,14.4,6972,53.9,1666,101801,137,1771,10453,1619,25.6,19.9,34459,5409,38.0,3.73,1439,4319,33.3
2024-05-29 14:38:08,625,31.3,32.5,6603,14.1,18604,13.7,7024,51.8,1785,102564,131,1728,10548,1631,30.0,18.9,34718,5450,35.7,3.73,1592,4352,31.7
2024-05-29 14:38:10,679,30.5,31.2,6421,,18742,13.0,7076,49.7,1798,103326,124,1686,11200,1793,28.9,17.9,34977,5490,,4.57,1604,4384,30.1
2024-05-29 14:38:12,684,33.1,29.8,6421,,18880,12.3,7128,47.5,1812,104089,94.8,1643,11300,1806,27.7,16.9,35236,5531,,4.23,1616,4417,29.4
2024-05-29 14:38:14,689,32.2,34.7,7697,,19018,11.6,7180,45.4,1825,104852,94.8,1432,11400,1820,26.6,15.9,35495,5572,,3.88,1628,4449,27.8
2024-05-29 14:38:16,694,31.2,33.0,7753,,19155,10.9,7232,43.3,1838,118273,94.8,1432,11500,1833,25.4,15.0,34485,5613,,3.54,1640,4482,26.1
2024-05-29 14:38:18,699,30.2,31.4,7809,,19293,10.2,7284,40.5,1851,119127,118,1602,11600,1846,24.3,14.0,40334,5653,,3.20,1652,4515,24.4
2024-05-29 14:38:20,704,29.3,29.8,7864,,19431,9.50,7916,38.4,1865,119981,110,1556,11700,1859,23.1,,40624,6182,,2.86,1664,4547,22.8
2024-05-29 14:38:22,756,28.3,28.1,7920,,21491,,7972,36.3,1878,120835,101,1511,11800,1873,22.0,,40914,6226,,,1676,4961,21.1
2024-05-29 14:38:24,761,27.4,26.5,8420,,21643,,8029,34.3,2022,121690,92.6,1466,12624,1886,20.7,,41204,6270,,,1836,4997,19.5
2024-05-29 14:38:26,767,26.4,24.8,8479,,21794,,8085,32.2,2036,130566,84.1,1421,12730,1899,20.7,,41494,6314,,,1848,5032,
2024-05-29 14:38:28,772,26.6,23.2,8538,,21945,,8141,30.1,2050,131476,75.7,1375,12836,2041,25.7,,41784,6358,,,1861,5067,
2024-05-29 14:38:30,777,25.6,,8597,,22097,,8197,28.0,2064,132386,,1330,12942,2055,24.0,,42074,6811,,,1874,5103,
2024-05-29 14:38:32,818,24.7,,8655,,22248,,8253,26.0,2078,133296,,1285,13049,2069,22.4,,42364,6858,,,1887,5138,
2024-05-29 14:38:34,824,23.7,,8714,,22399,,8310,,2093,134206,,1123,13155,2084,20.7,,41194,6905,,,1900,5505,
2024-05-29 14:38:36,830,22.7,,8773,,22551,,8085,,2107,135116,,1082,13261,2098,19.1,,41194,6952,,,1913,5542,
2024-05-29 14:38:38,836,21.7,,8851,,22787,,9114,,2268,144630,,1040,12922,2112,17.5,,48035,6999,,,2077,5580,
2024-05-29 14:38:40,842,22.8,,8640,,25337,,9182,,2285,145691,,999,12922,2266,15.8,,48382,7046,,,2091,5618,
2024-05-29 14:38:42,847,21.7,,9774,,25515,,9247,,2301,146718,,958,14596,2283,,,48718,7111,,,2107,5666,
2024-05-29 14:38:44,853,20.7,,9841,,25693,,9313,,2318,147745,,917,14710,2299,,,49055,7634,,,2122,5706,
2024-05-29 14:38:46,859,19.6,,9908,,25871,,9378,,2334,148772,,876,14825,2315,,,49391,7686,,,2137,6088,
2024-05-29 14:38:48,837,18.6,,9975,,26049,,9443,,2350,149799,,834,14939,2331,,,49727,7739,,,2152,6131,
2024-05-29 14:38:50,834,17.5,,10042,,26227,,9983,,2366,150826,,793,15053,2347,,,50064,7792,,,2167,6173,
2024-05-29 14:38:52,946,16.5,,10125,,26405,,10051,,2314,151852,,546,15167,2465,,,50400,7845,,,2182,6215,
2024-05-29 14:38:54,946,15.4,,10858,,28204,,10119,,2314,152879,,673,15281,2482,,,49103,7898,,,2129,6258,
2024-05-29 14:38:56,967,,,10932,,28402,,10188,,2314,168045,,633,16217,2499,,,55707,7948,,,2395,6300,
2024-05-29 14:38:58,974,,,11007,,28601,,10255,,2626,169312,,593,16338,2516,,,56092,8023,,,2411,6342,
2024-05-29 14:39:00,980,,,11081,,28799,,10349,,2651,170513,,553,16458,2537,,,56478,8681,,,2415,6800,
2024-05-29 14:39:02,985,,,11167,,28997,,10421,,2669,171714,,513,16578,2555,,,56863,8740,,,2446,6848,
2024-05-29 14:39:04,1038,,,11245,,29195,,11096,,2687,172915,,473,16699,2662,,,57248,8800,,,2463,6895,
2024-05-29 14:39:06,1038,,,11782,,29394,,11172,,2705,174116,,433,16819,2680,,,57634,8859,,,2480,6943,
2024-05-29 14:39:08,1060,,,11862,,29592,,11249,,2706,185291,,,16939,2699,,,58183,8919,,,2497,6990,
2024-05-29 14:39:10,1068,,,11942,,29881,,11326,,2747,186561,,,18080,2717,,,58592,9271,,,2513,7038,
2024-05-29 14:39:12,1075,,,12023,,31513,,11403,,2883,187830,,,18207,2735,,,63004,9334,,,2682,7085,
2024-05-29 14:39:14,1081,,,12117,,31733,,11480,,2903,189100,,,18335,2754,,,63441,9398,,,2707,7348,
2024-05-29 14:39:16,1081,,,12200,,31952,,11580,,2923,190370,,,18462,2845,,,63878,9461,,,2726,7402,
2024-05-29 14:39:18,1081,,,12284,,32172,,11661,,2942,191880,,,18590,2873,,,64315,9523,,,2744,7454,
2024-05-29 14:39:20,1048,,,12906,,32391,,11742,,2957,193195,,,18717,2893,,,64751,9606,,,2763,7506,
2024-05-29 14:39:22,1171,,,12993,,33755,,12449,,3052,194511,,,18845,2913,,,67526,9673,,,2782,7558,
2024-05-29 14:39:24,1179,,,13092,,33982,,12534,,3097,195827,,,18972,2933,,,67997,9739,,,2801,7609,
2024-05-29 14:39:26,1201,,,13183,,34253,,12619,,3118,190191,,,18528,2953,,,68466,9480,,,2820,7661,
2024-05-29 14:39:28,1209,,,13274,,34496,,12704,,3139,212327,,,18551,2973,,,68935,10536,,,2827,7713,
2024-05-29 14:39:30,1217,,,13365,,34740,,12757,,3150,213825,,,20590,2992,,,69404,10608,,,2760,8174,
2024-05-29 14:39:32,1220,,,13456,,34984,,12903,,3150,215323,,,20731,3150,,,69872,10679,,,3063,8244,
2024-05-29 14:39:34,1220,,,13547,,36570,,12993,,3207,216821,,,20872,3189,,,70322,10764,,,3085,8301,
2024-05-29 14:39:36,1220,,,13182,,36823,,13084,,3229,218319,,,21014,3211,,,74103,10840,,,3106,8358,
2024-05-29 14:39:38,1181,,,14560,,37076,,13654,,3153,219817,,,21155,3233,,,74620,10915,,,3128,8414,
2024-05-29 14:39:40,1290,,,14660,,37328,,13748,,3439,221315,,,21340,3255,,,75137,10991,,,3149,8471,
2024-05-29 14:39:42,1337,,,14760,,37581,,13842,,3451,233252,,,21489,3277,,,75655,11516,,,3171,8784,
2024-05-29 14:39:44,1338,,,14860,,37834,,13936,,3451,234820,,,21638,3381,,,76172,11594,,,3192,8883,
2024-05-29 14:39:46,1338,,,14960,,38168,,14030,,3451,236597,,,21036,3381,,,76689,11673,,,3214,8944,
2024-05-29 14:39:48,1338,,,15101,,39788,,14098,,3534,238239,,,22979,3429,,,77206,11751,,,3105,9006,
2024-05-29 14:39:50,1338,,,15208,,40063,,14249,,3558,239880,,,23135,3453,,,77914,11794,,,3449,9067,
2024-05-29 14:39:52,1338,,,15315,,40338,,14348,,3582,241521,,,23292,3476,,,78458,12234,,,3473,9129,
2024-05-29 14:39:54,1436,,,14891,,40613,,13953,,3582,243162,,,23432,3500,,,76000,12319,,,3496,9191,
2024-05-29 14:39:56,1464,,,16239,,40888,,13953,,3474,254417,,,23626,3523,,,83911,12404,,,3520,9561,
2024-05-29 14:39:58,1473,,,16351,,41163,,15264,,3527,256262,,,23788,3525,,,84484,12489,,,3544,9639,
2024-05-29 14:40:00,1483,,,16463,,41547,,15367,,3834,258064,,,23950,3689,,,85057,12574,,,3568,9705,
2024-05-29 14:40:02,1484,,,16575,,42923,,15482,,3860,259866,,,24111,3714,,,85630,12659,,,3581,9771,
2024-05-29 14:40:04,1484,,,16687,,43224,,15590,,3870,261668,,,25128,3739,,,86325,12744,,,3702,9837,
2024-05-29 14:40:06,1519,,,16799,,43524,,15697,,3870,263470,,,25128,3760,,,86926,12751,,,3762,9903,
2024-05-29 14:40:08,1519,,,16942,,43825,,15804,,3870,273063,,,25501,3760,,,87527,13399,,,3788,9914,
2024-05-29 14:40:10,1519,,,17058,,44125,,15911,,3940,274919,,,25676,3820,,,88128,13492,,,3814,10056,
2024-05-29 14:40:12,1578,,,17809,,44426,,16019,,4060,276774,,,25852,3846,,,88729,13585,,,3839,10125,
2024-05-29 14:40:14,1584,,,17930,,44727,,16517,,4088,278253,,,26027,3875,,,92681,13679,,,3863,10534,
2024-05-29 14:40:16,1584,,,18051,,45027,,16670,,4115,280759,,,26203,3780,,,93305,13772,,,3863,10605,
2024-05-29 14:40:18,1625,,,18116,,43594,,16784,,4128,282682,,,26327,3780,,,93555,14159,,,3863,10676,
2024-05-29 14:40:20,1625,,,18312,,47170,,16898,,4128,291340,,,26327,4052,,,94680,14254,,,3828,10695,
2024-05-29 14:40:22,1625,,,18437,,47494,,17012,,4128,293309,,,25383,4075,,,95338,14289,,,3828,10695,
2024-05-29 14:40:24,1625,,,18562,,47818,,17385,,4128,295277,,,28046,4075,,,95996,14289,,,4161,10901,
2024-05-29 14:40:26,1625,,,18687,,48143,,17385,,3998,295310,,,28236,4075,,,96655,14428,,,4189,11149,
2024-05-29 14:40:28,1677,,,18765,,48467,,17632,,3986,299611,,,28427,4075,,,99767,14528,,,4213,11181,
2024-05-29 14:40:30,1677,,,18061,,48644,,17751,,4304,301670,,,28528,4149,,,100442,15009,,,4213,11181,
2024-05-29 14:40:32,1722,,,19455,,49578,,17870,,4452,303728,,,28528,4178,,,101117,15110,,,4213,11181,
