"Time","adservice-66cdf5d799-qjcz9","cartservice-594d56988-6zw54","checkoutservice-678cdcb74b-gxdhc","currencyservice-65f5c47df6-57ktd","emailservice-57d8c6575f-l28zv","frontend-6b49fbfbff-tr2t9","loadgenerator-7c6fb64488-tjvqt","loadgenerator-7c6fb64488-vz2nl","paymentservice-dc6c9d6c6-4g7p8","productcatalogservice-5f999d9577-bdqw2","recommendationservice-6d849b6d76-kkqwm","redis-cart-855b76d469-tvvt6","shippingservice-5cb69d4cbd-khvz6"
2024-06-17 11:29:30,7010,17323,13415,24061,1191,534985,589,31905,1129,111470,12590,4974,4472
2024-06-17 11:29:32,6782,17323,12972,24061,1191,534985,556,32143,1129,111470,12590,4974,4472
2024-06-17 11:29:34,6804,17323,12883,23959,1191,534985,522,31855,1129,111470,12590,4974,4472
2024-06-17 11:29:36,6804,17323,13340,23959,1175,534985,489,32090,1155,111470,12590,4875,4531
2024-06-17 11:29:38,6804,17323,13786,23959,1202,534985,,32325,1163,110785,12454,5015,4563
2024-06-17 11:29:40,7171,17323,13786,25273,1202,534985,,32560,1198,115415,13016,5187,4708
2024-06-17 11:29:42,7171,17323,13786,25273,1202,534985,,32794,1198,115415,13016,5187,4708
2024-06-17 11:29:44,7171,18159,13786,25273,1202,542332,,33029,1159,115415,13016,5187,4708
2024-06-17 11:29:46,7171,18159,13786,25387,1202,553983,,33264,1185,115415,13016,5187,4708
2024-06-17 11:29:48,7171,18159,13709,25387,1252,553983,,33499,1185,115415,13016,5171,4708
2024-06-17 11:29:50,7221,18159,13709,25387,1247,553983,,33734,1185,115624,13016,5171,4715
2024-06-17 11:29:52,7221,18159,13709,25387,1247,553983,,34208,1185,119791,13705,5171,4715
2024-06-17 11:29:54,7221,18159,14109,25387,1247,553983,,34444,1232,119791,13683,5171,4715
2024-06-17 11:29:56,7536,18159,14553,26258,1247,571631,,34681,1232,119791,13683,5410,4937
2024-06-17 11:29:58,7536,18159,14553,27193,1247,575599,,34917,1242,119791,13683,5410,4937
2024-06-17 11:30:00,7536,19107,14553,27193,1247,595196,,35154,1242,119791,13683,5410,4937
2024-06-17 11:30:02,7536,18431,14553,26337,1247,595196,,35390,1242,123518,13683,5439,4937
2024-06-17 11:30:04,7536,19377,14081,27403,1283,595196,,36068,1242,127431,13683,5439,4937
2024-06-17 11:30:06,7616,19377,14727,27403,1301,595196,,36319,1242,123413,13683,5439,5031
2024-06-17 11:30:08,8027,19377,14727,27403,1301,600888,,36570,1299,129422,14269,5439,5031
2024-06-17 11:30:10,8027,19377,14727,27403,1301,600888,,36822,1299,129422,13798,5687,5281
2024-06-17 11:30:12,8027,19377,15407,27403,1301,600888,,37073,1299,129422,14570,5687,5281
2024-06-17 11:30:14,8027,19924,15407,28664,1346,600888,,37324,1256,129422,14570,5687,5281
2024-06-17 11:30:16,8027,20568,15407,28664,1346,624410,,37575,1322,129422,14570,5780,5281
2024-06-17 11:30:18,8027,20568,15407,28664,1346,631396,,37895,1322,129422,14570,5780,5342
2024-06-17 11:30:20,8027,20568,15722,28664,1346,631396,,36926,1322,135509,15230,5780,5342
2024-06-17 11:30:22,8158,20966,15722,28664,1300,631396,,36926,1330,135509,15230,5867,5342
2024-06-17 11:30:24,8239,20966,15978,28664,1379,631396,,39720,1340,137642,15453,6047,5541
2024-06-17 11:30:26,8534,20966,16440,29487,1420,631396,,39987,1384,137642,15453,6047,5541
2024-06-17 11:30:28,8534,20966,16440,29487,1420,651489,,40121,1398,137642,15453,6047,5541
2024-06-17 11:30:30,8534,20966,16440,29943,1420,651489,,40121,1398,137642,15453,6047,5580
2024-06-17 11:30:32,8534,21582,16440,29943,1420,661819,,40826,1398,137642,15453,5859,5580
2024-06-17 11:30:34,8534,21582,16440,29943,1420,661819,,41101,1398,137642,15856,5818,5580
2024-06-17 11:30:36,8585,21582,15911,29943,1420,661819,,41847,1398,143213,15856,6180,5580
2024-06-17 11:30:38,8585,20855,15802,29479,1420,661819,,41847,1398,143213,16047,6180,5580
2024-06-17 11:30:40,8585,21938,17031,29684,1373,661819,,41847,1398,143213,16047,6143,5525
2024-06-17 11:30:42,8585,21938,17031,30694,1440,676956,,41847,1373,143213,16047,6185,5691
2024-06-17 11:30:44,8483,21938,17031,30694,1461,676956,,41847,1340,143213,16047,6371,5691
2024-06-17 11:30:46,8783,22220,17031,30694,1461,676956,,42538,1432,143213,16047,6371,5517
2024-06-17 11:30:48,8783,22220,17031,31139,1461,655461,,42538,1432,143213,16047,6371,5756
2024-06-17 11:30:50,8783,22412,17031,31139,1461,650948,,42538,1432,143213,16189,6459,5756
2024-06-17 11:30:52,8783,22412,17031,31139,1461,692525,,41146,1432,139907,16189,6459,5756
2024-06-17 11:30:54,8884,22412,16632,31139,1473,699178,,40863,1432,146721,15688,6459,5756
2024-06-17 11:30:56,8884,22412,16605,31139,1476,699178,,43411,1432,146721,16428,6459,5589
2024-06-17 11:30:58,8884,22513,17342,31291,1476,699178,,43411,1432,146721,16428,6508,5766
2024-06-17 11:31:00,8884,22513,17342,31555,1476,699178,,43411,1436,146721,16502,6508,5766
2024-06-17 11:31:02,8884,22513,17342,31555,1476,706439,,43575,1389,146980,16502,6508,5766
2024-06-17 11:31:04,8900,22513,17342,31555,1476,706439,,43575,1441,146980,16502,6508,5794
2024-06-17 11:31:06,8900,22513,17342,31555,1468,709508,,43575,1441,146980,16502,6593,5794
2024-06-17 11:31:08,8900,22856,17342,31555,1468,709508,,43575,1441,146980,16502,6593,5794
2024-06-17 11:31:10,8900,22817,17342,31596,1488,709508,,43575,1441,148947,16502,6602,5794
2024-06-17 11:31:12,8985,22817,17465,31792,1488,709508,,42105,1435,148947,16648,6602,5794
2024-06-17 11:31:14,8985,22817,17465,31792,1488,710973,,43799,1435,148947,16648,6602,5746
2024-06-17 11:31:16,8985,22817,17465,31792,1488,710973,,43799,1435,148947,16648,6506,5746
2024-06-17 11:31:18,8985,22817,17465,31792,1488,710973,,43799,1419,148577,16648,6506,5746
2024-06-17 11:31:20,8943,22817,17465,31792,1454,708683,,43636,1419,148577,16648,6486,5746
2024-06-17 11:31:22,8943,22077,17465,31701,1454,708683,,43636,1354,148577,16648,6486,5746
2024-06-17 11:31:24,8943,22077,16324,31701,1391,708683,,43636,1364,148577,16648,6486,5746
2024-06-17 11:31:26,8943,21996,16836,31701,1400,679915,,43636,1410,143679,16648,6486,5707
2024-06-17 11:31:28,8504,21996,16836,30283,1443,679915,,43636,1410,140841,15843,6281,5707
2024-06-17 11:31:30,8504,21996,16836,30283,1443,679915,,42117,1410,140841,15755,6281,5462
2024-06-17 11:31:32,8504,21996,16836,30283,1443,679915,,42117,1410,134887,15755,6281,5462
2024-06-17 11:31:34,8504,21996,16836,30283,1443,679915,,41807,1368,139743,15755,6265,5462
2024-06-17 11:31:36,8448,21996,16355,30283,1398,676527,,41807,1359,139743,15755,6265,5462
2024-06-17 11:31:38,8448,21198,16355,30219,1400,662113,,41807,1357,139743,15755,6265,5462
2024-06-17 11:31:40,8448,21198,16355,30219,1400,662113,,41807,1357,139743,15755,6265,5462
2024-06-17 11:31:42,8283,21198,16336,30219,1400,662113,,41807,1355,139743,15755,6265,5424
2024-06-17 11:31:44,8283,21198,16336,30219,1396,662113,,41224,1355,136876,15287,6114,5424
2024-06-17 11:31:46,8283,21198,16336,29666,1396,662113,,41224,1355,136876,15287,6059,5326
2024-06-17 11:31:48,8283,21198,16054,28314,1396,662113,,41224,1355,136876,15287,6059,5326
2024-06-17 11:31:50,8283,21198,16054,29387,1396,648255,,41224,1338,136876,15287,6059,5326
2024-06-17 11:31:52,8283,21100,16054,29387,1386,648255,,40961,1338,135275,15287,6059,5326
2024-06-17 11:31:54,8246,21100,15766,29387,1386,648255,,40961,1313,135275,15287,6059,5326
2024-06-17 11:31:56,8246,20933,15766,29387,1367,648255,,40961,1313,135275,15287,5968,5326
2024-06-17 11:31:58,8237,20933,15766,29387,1367,648255,,40961,1313,135275,15287,5939,5253
2024-06-17 11:32:00,8237,20933,15766,29387,1367,648255,,40961,1313,130950,14054,5939,5253
2024-06-17 11:32:02,8237,20933,15300,29387,1367,648255,,40990,1320,135201,15020,5939,5089
2024-06-17 11:32:04,8237,20634,15195,28355,1374,648255,,40990,1320,135201,15020,5939,5312
2024-06-17 11:32:06,8237,20634,15898,29384,1374,641475,,40680,1320,135201,15020,5939,5312
2024-06-17 11:32:08,8237,20634,15679,29183,1362,641475,,40680,1306,127694,15020,5939,5312
2024-06-17 11:32:10,8109,20634,15679,29183,1362,641475,,40680,1306,128580,15020,5939,5312
2024-06-17 11:32:12,8109,20829,15679,29183,1362,641475,,40680,1306,132983,15020,5603,5247
2024-06-17 11:32:14,8161,20829,15679,29183,1362,641475,,40680,1306,132983,15020,5642,5247
2024-06-17 11:32:16,8161,20829,15679,29409,1381,641475,,40680,1332,134574,15020,5624,5312
2024-06-17 11:32:18,8161,20829,15512,29409,1381,641475,,41173,1332,134574,14843,5917,5312
2024-06-17 11:32:20,8161,20582,15512,29409,1381,641475,,40947,1280,134574,14301,5917,5312
2024-06-17 11:32:22,8161,20582,15047,28193,1370,620760,,40947,1320,134574,15152,5917,5312
2024-06-17 11:32:24,8161,20582,15840,29112,1370,643386,,40947,1320,134574,15152,5917,5290
2024-06-17 11:32:26,8161,20582,15840,29112,1370,643386,,40947,1320,134574,15152,5917,5290
2024-06-17 11:32:28,8095,20582,15840,29112,1370,643386,,40947,1320,135984,15152,5917,5290
2024-06-17 11:32:30,8219,19809,15733,29112,1370,643386,,40947,1340,135984,15152,6001,5290
2024-06-17 11:32:32,8219,21030,15733,29112,1324,643386,,40947,1340,135984,15077,5727,5379
2024-06-17 11:32:34,8219,21030,15733,29623,1315,643386,,39619,1340,135984,15077,5767,5379
2024-06-17 11:32:36,8219,20145,15733,29623,1400,643386,,41798,1340,135984,15077,5950,5343
2024-06-17 11:32:38,8219,20866,15733,29623,1400,614693,,41798,1331,135984,14598,5950,5343
2024-06-17 11:32:40,8200,20866,15207,29484,1400,614326,,41798,1331,132383,15424,5950,5343
2024-06-17 11:32:42,8200,20866,16076,29484,1400,651032,,41798,1352,136846,14862,5950,5343
2024-06-17 11:32:44,8200,20866,16076,29484,1400,651032,,41798,1352,136846,15364,5950,5343
2024-06-17 11:32:46,8200,20866,16076,29484,1400,651032,,41798,1352,136846,15364,5741,5442
2024-06-17 11:32:48,8200,20866,16076,29924,1423,651032,,41798,1352,136846,15364,6078,5442
2024-06-17 11:32:50,8200,21354,16076,28514,1423,651032,,42494,1288,136846,15600,6078,5442
2024-06-17 11:32:52,8116,21354,16076,29627,1423,651032,,42494,1297,136846,15600,6043,5404
2024-06-17 11:32:54,8116,21354,15193,29627,1423,651032,,42352,1339,136846,15600,6043,5404
2024-06-17 11:32:56,8116,21183,15299,29627,1423,621679,,42352,1339,139515,15600,6043,5404
2024-06-17 11:32:58,8248,21183,15347,29627,1423,619910,,42352,1294,138541,15600,6043,5404
2024-06-17 11:33:00,8248,21183,16357,30039,1423,660396,,42352,1378,138541,15497,6043,5404
2024-06-17 11:33:02,8248,21183,16357,30039,1423,660396,,42352,1378,138541,15497,6168,5239
2024-06-17 11:33:04,8248,21183,16357,30039,1454,660396,,42352,1378,138541,15497,5852,5203
2024-06-17 11:33:06,8153,21183,16357,30039,1454,660396,,42352,1378,138541,15676,6068,5478
2024-06-17 11:33:08,8153,20483,16357,30039,1454,660396,,42716,1378,138541,15676,6068,5478
2024-06-17 11:33:10,8153,21184,16357,28639,1454,660396,,42716,1375,137210,15031,6068,5478
2024-06-17 11:33:12,7994,21005,16357,28837,1454,660396,,42687,1375,133011,15515,6068,5478
2024-06-17 11:33:14,7994,21005,16270,29018,1454,653175,,42687,1345,134093,15515,6068,5478
2024-06-17 11:33:16,7994,21005,15778,29018,1454,635279,,42687,1345,134093,14939,5874,5452
2024-06-17 11:33:18,7994,21005,15670,29018,1407,635279,,42687,1345,134093,14939,5874,5452
2024-06-17 11:33:20,7994,21005,15545,29018,1407,635279,,41179,1342,134093,14939,5874,5452
2024-06-17 11:33:22,7735,21005,15545,29018,1407,635279,,41024,1342,133164,14939,5874,5172
2024-06-17 11:33:24,7351,20089,15545,29018,1407,635279,,41024,1301,133164,14939,5824,5172
2024-06-17 11:33:26,7603,20781,15545,27994,1407,635279,,41024,1301,133164,14939,5824,5172
2024-06-17 11:33:28,7603,19426,15545,27994,1407,635279,,41024,1301,133164,14838,5824,5172
2024-06-17 11:33:30,7603,19426,15386,27708,1342,635279,,41024,1301,126417,14838,5556,5148
2024-06-17 11:33:32,7603,19426,15386,27708,1352,572231,,41024,1294,126417,14119,5556,5148
2024-06-17 11:33:34,7603,19426,15386,27708,1356,592822,,41024,1294,126417,14119,5477,5148
2024-06-17 11:33:36,7603,19426,14666,27708,1332,592822,,39293,1294,119863,14119,5477,5148
2024-06-17 11:33:38,7603,19426,14666,27708,1332,592822,,39293,1294,124207,14119,5477,4995
2024-06-17 11:33:40,7202,18833,14666,27708,1332,592822,,39071,1238,124207,13940,5477,4961
2024-06-17 11:33:42,7083,18833,14462,26752,1332,573082,,39071,1238,124207,13940,5477,4782
2024-06-17 11:33:44,7083,18499,14462,24880,1332,573082,,39071,1238,124207,13940,5231,4782
2024-06-17 11:33:46,7083,18499,14462,25052,1332,573082,,39071,1220,118278,13940,5231,4782
2024-06-17 11:33:48,7083,18499,14462,25872,1332,573082,,38033,1220,118278,13323,5132,4782
2024-06-17 11:33:50,7083,18499,14462,25872,1317,550125,,38033,1220,118278,13323,5132,4782
2024-06-17 11:33:52,7083,18499,13758,25872,1277,568383,,38033,1190,118278,13323,5132,4782
2024-06-17 11:33:54,7083,18499,13443,25872,1269,568383,,38033,1190,118278,13323,5132,4782
2024-06-17 11:33:56,6998,17736,13443,25872,1269,548088,,38439,1186,117042,13357,5132,4834
2024-06-17 11:33:58,6907,17736,13443,25325,1269,548088,,38439,1186,121150,13357,5132,4681
2024-06-17 11:34:00,6907,17736,13443,25325,1269,548088,,38439,1186,121150,13357,5132,4618
2024-06-17 11:34:02,6907,18269,13443,25325,1269,548088,,37175,1186,121150,13357,4917,4618
2024-06-17 11:34:04,6907,18269,13956,25797,1274,548088,,37175,1186,116785,12814,5158,4618
2024-06-17 11:34:06,6907,18269,13534,26595,1250,548088,,37175,1186,115051,12814,5158,4618
2024-06-17 11:34:08,6907,18269,13534,26595,1291,539169,,37175,1153,115051,13382,5158,4618
2024-06-17 11:34:10,6907,18269,13534,26595,1291,542896,,38115,1153,115051,13382,5158,4764
2024-06-17 11:34:12,6907,18269,13534,26595,1291,559052,,38115,1187,115051,13382,5158,4764
2024-06-17 11:34:14,6907,18077,13534,25648,1291,559052,,38115,1187,118259,13382,5001,4628
2024-06-17 11:34:16,6824,17895,13529,25827,1266,559052,,38115,1187,118259,13382,5001,4628
2024-06-17 11:34:18,6824,17895,14038,25827,1266,559052,,37074,1187,118259,13382,5001,4628
2024-06-17 11:34:20,6824,17895,14038,25827,1266,559052,,37074,1187,118259,12957,5109,4628
2024-06-17 11:34:22,6824,17895,13488,26010,1266,542931,,37688,1187,114410,12957,5109,4689
2024-06-17 11:34:24,6824,17895,13488,26010,1285,538750,,37688,1187,114410,12957,5109,4689
