"Time","adservice-769c85bff-p5p4l","cartservice-57b6f4544-nndv9","checkoutservice-7744df487d-9p9wc","currencyservice-57c744564d-6dtkn","emailservice-58755f8b55-vqrwx","frontend-5bfd5c75f-4226p","loadgenerator-7b495c87ff-pc9rs","loadgenerator-7b495c87ff-qtz9z","paymentservice-747f5544b8-65w42","productcatalogservice-8ffc55d69-gg7lz","recommendationservice-756856df7b-6rzgz","redis-cart-69c467889f-5kh4g","shippingservice-8b5c9bb9b-4xhfd"
2024-05-29 12:07:20,0.00280,0.00956,0.00142,0.0122,0.00175,0.00789,0.00420,0.0180,0.00129,0.00486,0.00401,0.00244,0.00146
2024-05-29 12:07:22,0.00280,0.00956,0.00148,0.0122,0.00249,0.00789,0.00416,0.0186,0.00129,0.00486,0.00387,0.00244,0.00146
2024-05-29 12:07:24,0.00280,0.00956,0.00148,0.0128,0.00249,0.00789,0.00395,0.0192,0.00125,0.00511,0.0114,0.00244,0.00146
2024-05-29 12:07:26,0.00284,0.00956,0.00276,0.0204,0.00249,0.00818,0.00407,0.0198,0.00403,0.00511,0.0114,0.00260,0.00146
2024-05-29 12:07:28,0.00284,0.00956,0.00276,0.0204,0.00249,0.00792,0.00403,0.0204,0.00403,0.00511,0.0114,0.00260,0.00146
2024-05-29 12:07:30,0.00284,0.00956,0.00276,0.0204,0.00249,0.00786,0.00400,0.0210,0.00403,0.00511,0.0114,0.00260,0.00223
2024-05-29 12:07:32,0.00284,0.00956,0.00276,0.0204,0.00251,0.0209,0.00396,0.0216,0.00420,0.00511,0.0116,0.00262,0.00223
2024-05-29 12:07:34,0.00284,0.00956,0.00276,0.0204,0.00251,0.0209,0.00393,0.0295,0.00420,0.00511,0.0120,0.00262,0.00223
2024-05-29 12:07:36,0.00360,0.0136,0.00289,0.0204,0.00251,0.0219,0.00389,0.0303,0.00420,0.00850,0.0172,0.00262,0.00223
2024-05-29 12:07:38,0.00360,0.0136,0.00405,0.0271,0.00251,0.0219,0.00385,0.0311,0.00420,0.00871,0.0172,0.00275,0.00223
2024-05-29 12:07:40,0.00369,0.0136,0.00405,0.0271,0.00332,0.0219,0.00383,0.0319,0.00644,0.00900,0.0172,0.00275,0.00223
2024-05-29 12:07:42,0.00369,0.0136,0.00405,0.0271,0.00332,0.0219,0.00379,0.0327,0.00644,0.00900,0.0172,0.00275,0.00223
2024-05-29 12:07:44,0.00369,0.0136,0.00405,0.0271,0.00339,0.0219,0.00375,0.0335,0.00644,0.00900,0.0172,0.00275,0.00230
2024-05-29 12:07:46,0.00369,0.0136,0.00405,0.0271,0.00339,0.0219,0.00372,0.0343,0.00661,0.00900,0.0172,0.00279,0.00230
2024-05-29 12:07:48,0.00369,0.0136,0.00490,0.0282,0.00339,0.0211,0.00368,0.0400,0.00684,0.00900,0.0172,0.00291,0.00222
2024-05-29 12:07:50,0.00369,0.0173,0.00490,0.0282,0.00339,0.0338,0.00364,0.0409,0.00684,0.0117,0.0180,0.00291,0.00330
2024-05-29 12:07:52,0.00369,0.0173,0.00510,0.0282,0.00339,0.0350,0.00361,0.0418,0.00684,0.0117,0.0174,0.00291,0.00330
2024-05-29 12:07:54,0.00430,0.0173,0.00510,0.0365,0.00338,0.0350,0.00337,0.0428,0.00684,0.0117,0.0250,0.00291,0.00330
2024-05-29 12:07:56,0.00445,0.0173,0.00510,0.0365,0.00406,0.0350,0.00337,0.0437,0.00664,0.0122,0.0250,0.00291,0.00350
2024-05-29 12:07:58,0.00445,0.0173,0.00510,0.0365,0.00406,0.0350,0.00349,0.0446,0.00919,0.0122,0.0250,0.00300,0.00350
2024-05-29 12:08:00,0.00445,0.0173,0.00597,0.0387,0.00406,0.0350,0.00345,0.0455,0.00919,0.0122,0.0250,0.00300,0.00350
2024-05-29 12:08:02,0.00445,0.0173,0.00597,0.0387,0.00406,0.0350,0.00342,0.0464,0.00919,0.0138,0.0250,0.00303,0.00395
2024-05-29 12:08:04,0.00445,0.0173,0.00618,0.0387,0.00406,0.0350,0.00338,0.0432,0.00966,0.0138,0.0264,0.00303,0.00395
2024-05-29 12:08:06,0.00480,0.0167,0.00618,0.0403,0.00406,0.0339,0.00334,0.0432,0.00966,0.0138,0.0274,0.00303,0.00395
2024-05-29 12:08:08,0.00480,0.0196,0.00618,0.0403,0.00406,0.0350,0.00331,0.0561,0.00966,0.0144,0.0274,0.00303,0.00395
2024-05-29 12:08:10,0.00480,0.0196,0.00597,0.0403,0.00406,0.0347,0.00327,0.0572,0.00966,0.0144,0.0274,0.00303,0.00395
2024-05-29 12:08:12,0.00490,0.0196,0.00597,0.0403,0.00393,0.0345,0.00326,0.0582,0.00966,0.0144,0.0274,0.00299,0.00395
2024-05-29 12:08:14,0.00490,0.0196,0.00618,0.0403,0.00419,0.0342,0.00323,0.0593,0.00928,0.0144,0.0274,0.00303,0.00413
2024-05-29 12:08:16,0.00490,0.0196,0.00618,0.0417,0.00419,0.0342,0.00319,0.0603,0.00928,0.0144,0.0274,0.00303,0.00413
2024-05-29 12:08:18,0.00477,0.0196,0.00618,0.0417,0.00419,0.0359,0.00315,0.0573,0.00963,0.0150,0.0274,0.00303,0.00399
2024-05-29 12:08:20,0.00477,0.0196,0.00618,0.0417,0.00419,0.0357,0.00312,0.0582,0.00963,0.0145,0.0273,0.00303,0.00388
2024-05-29 12:08:22,0.00477,0.0192,0.00618,0.0404,0.00419,0.0355,0.00308,0.0592,0.00963,0.0141,0.0273,0.00303,0.00388
2024-05-29 12:08:24,0.00479,0.0199,0.00648,0.0392,0.00419,0.0352,0.00304,0.0602,0.00963,0.0141,0.0273,0.00303,0.00388
2024-05-29 12:08:26,0.00482,0.0199,0.00614,0.0392,0.00419,0.0350,0.00301,0.0612,0.00963,0.0141,0.0273,0.00306,0.00388
2024-05-29 12:08:28,0.00498,0.0199,0.00614,0.0405,0.00423,0.0347,0.00297,0.0621,0.00963,0.0141,0.0273,0.00301,0.00410
2024-05-29 12:08:30,0.00498,0.0199,0.00614,0.0419,0.00423,0.0345,0.00294,0.0631,0.00974,0.0141,0.0273,0.00301,0.00410
2024-05-29 12:08:32,0.00498,0.0199,0.00614,0.0419,0.00423,0.0348,0.00290,0.0585,0.00974,0.0145,0.0287,0.00301,0.00410
2024-05-29 12:08:34,0.00498,0.0199,0.00614,0.0438,0.00423,0.0362,0.00286,0.0593,0.00974,0.0150,0.0282,0.00301,0.00410
2024-05-29 12:08:36,0.00481,0.0199,0.00614,0.0438,0.00423,0.0360,0.00282,0.0602,0.00974,0.0156,0.0282,0.00305,0.00410
2024-05-29 12:08:38,0.00500,0.0199,0.00720,0.0438,0.00423,0.0357,0.00279,0.0611,0.00974,0.0156,0.0282,0.00305,0.00396
2024-05-29 12:08:40,0.00500,0.0215,0.00720,0.0438,0.00423,0.0355,0.00272,0.0620,0.00974,0.0156,0.0282,0.00305,0.00442
2024-05-29 12:08:42,0.00500,0.0228,0.00720,0.0438,0.00468,0.0353,0.00268,0.0629,0.00974,0.0156,0.0282,0.00321,0.00442
2024-05-29 12:08:44,0.00519,0.0228,0.00720,0.0438,0.00468,0.0351,0.00265,0.0638,0.00974,0.0156,0.0325,0.00321,0.00442
2024-05-29 12:08:46,0.00519,0.0228,0.00720,0.0451,0.00483,0.0468,0.00261,0.0647,0.0101,0.0156,0.0325,0.00321,0.00453
2024-05-29 12:08:48,0.00519,0.0228,0.00720,0.0465,0.00483,0.0470,0.00258,0.0609,0.00976,0.0156,0.0337,0.00321,0.00469
2024-05-29 12:08:50,0.00552,0.0228,0.00806,0.0529,0.00483,0.0471,0.00256,0.0692,0.0128,0.0181,0.0337,0.00321,0.00469
2024-05-29 12:08:52,0.00552,0.0228,0.00806,0.0529,0.00483,0.0473,0.00252,0.0702,0.0128,0.0187,0.0337,0.00326,0.00469
2024-05-29 12:08:54,0.00552,0.0228,0.00806,0.0529,0.00483,0.0474,0.00249,0.0711,0.0128,0.0194,0.0337,0.00326,0.00469
2024-05-29 12:08:56,0.00552,0.0228,0.00830,0.0529,0.00483,0.0522,0.00245,0.0720,0.0128,0.0194,0.0337,0.00326,0.00535
2024-05-29 12:08:58,0.00552,0.0248,0.00836,0.0529,0.00483,0.0525,0.00241,0.0729,0.0133,0.0194,0.0355,0.00316,0.00535
